구분,,화재건수,사망,부상,인명피해 계,부동산피해(천원),동산피해(천원),재산피해(천원),재산피해/건당(천원)
합계,,3177,43,210,253,79933592,137282377,217215969,68371
가구,소계,24,0,0,0,174016,143090,317106,13213
,소파,2,0,0,0,56423,61688,118111,59056
,옷장 책장 등,5,0,0,0,21530,30586,52116,10423
,침대 매트리스,9,0,0,0,34999,17264,52263,5807
,테이블 의자,2,0,0,0,47570,19809,67379,33690
,기타(가구),6,0,0,0,13494,13743,27237,4540
가연성가스,소계,29,1,13,14,645714,1621821,2267535,78191
,메탄가스,0,0,0,0,0,0,0,0
,부탄가스,7,0,3,3,32669,23100,55769,7967
,수소가스,0,0,0,0,0,0,0,0
,아세틸렌가스,1,0,1,1,0,30363,30363,30363
,천연가스,0,0,0,0,0,0,0,0
,프로판가스,3,0,1,1,12197,33464,45661,15220
,기타(가연성가스),18,1,8,9,600848,1534894,2135742,118652
간판차양막등,소계,5,0,0,0,4240,10607,14847,2969
,광고판,0,0,0,0,0,0,0,0
,네온사인,0,0,0,0,0,0,0,0
,차양막,1,0,0,0,471,8002,8473,8473
,플래카드,0,0,0,0,0,0,0,0
,기타(간판차양막등),4,0,0,0,3769,2605,6374,1594
식품,소계,95,1,7,8,1090489,1080691,2171180,22855
,음식물,24,1,2,3,359681,696365,1056046,44002
,튀김유,46,0,4,4,541418,242325,783743,17038
,기타(식품),25,0,1,1,189390,142001,331391,13256
쓰레기류,소계,352,1,13,14,2241549,4287410,6528959,18548
,분진,31,0,1,1,779236,1381418,2160654,69699
,쓰레기,217,1,8,9,1016673,1260941,2277614,10496
,재활용,29,0,2,2,278455,809218,1087673,37506
,폐목재,7,0,0,0,43929,8753,52682,7526
,폐타이어,0,0,0,0,0,0,0,0
,기타 쓰레기,68,0,2,2,123256,827080,950336,13976
위험물등,소계,120,6,49,55,10143533,8383342,18526875,154391
,가솔린,8,1,3,4,37770,40954,78724,9841
,경유,8,0,0,0,351847,47196,399043,49880
,광택제 파라핀 왁스 등,0,0,0,0,0,0,0,0
,기계유,13,0,0,0,162210,303964,466174,35860
,도료류,8,0,1,1,62618,431124,493742,61718
,등유,6,0,6,6,50371,20200,70571,11762
,시너,11,0,3,3,284477,108550,393027,35730
,접착제 레진 타르,1,0,1,1,0,0,0,0
,제1류 위험물,1,0,1,1,0,217,217,217
,제2류 위험물,2,0,0,0,4617,23155,27772,13886
,제3류 위험물,3,0,1,1,15338,33781,49119,16373
,제5류 위험물,0,0,0,0,0,0,0,0
,제6류 위험물,0,0,0,0,0,0,0,0
,특수가연물류,0,0,0,0,0,0,0,0
,폭발물질,0,0,0,0,0,0,0,0
,기타 제4류 위험물,45,5,32,37,8785814,6719453,15505267,344561
,기타(위험물등),14,0,1,1,388471,654748,1043219,74516
자동차철도차량선박항공기,소계,288,2,6,8,582585,8000643,8583228,29803
,경유(자동차철도),7,0,1,1,204,48130,48334,6905
,방음재,4,0,0,0,0,14925,14925,3731
,배관,4,0,0,0,0,19387,19387,4847
,범퍼,3,0,0,0,0,24466,24466,8155
,벨트,1,0,0,0,0,880,880,880
,부품,53,0,1,1,195150,566764,761914,14376
,오일류,61,0,0,0,7192,627784,634976,10409
,전기배선,67,0,0,0,45823,1155014,1200837,17923
,좌석시트,7,1,2,3,0,84293,84293,12042
,천연가스(자동차철도),0,0,0,0,0,0,0,0
,카펫(자동차철도),2,0,0,0,1358,20900,22258,11129
,타이어,30,0,0,0,0,1084423,1084423,36147
,프로판가스(자동차철도),2,0,0,0,0,38500,38500,19250
,화물,0,0,0,0,0,0,0,0
,휘발유,16,0,1,1,152343,162849,315192,19700
,기타(자동차철도차량선박항공기),31,1,1,2,180515,4152328,4332843,139769
전기전자,소계,857,5,31,36,16865677,21498018,38363695,44765
,작동장치(모터 히터 램프 등),13,0,4,4,41807,44350,86157,6627
,전기 전자기기 기판,40,0,4,4,196986,339499,536485,13412
,전기 전자기기 내부배선,62,3,3,6,399657,238457,638114,10292
,전기 전자기기 절연유,0,0,0,0,0,0,0,0
,전기 전자기기 케이스,27,0,0,0,136627,52307,188934,6998
,전선피복,547,2,12,14,14604338,18386451,32990789,60312
,전자기기 부속품,48,0,3,3,556518,566144,1122662,23389
,콘센트 스위치류,67,0,1,1,505200,520847,1026047,15314
,기타(전기전자),53,0,4,4,424544,1349963,1774507,33481
종이목재건초등,소계,506,1,10,11,5702865,7811606,13514471,26708
,건초,62,0,1,1,80597,364791,445388,7184
,나무,13,0,0,0,62311,70591,132902,10223
,목재 합판,60,0,1,1,995639,1122772,2118411,35307
,잔디,12,0,0,0,13851,19302,33153,2763
,종이,203,1,3,4,3230853,4788552,8019405,39504
,톱밥,11,0,0,0,7786,38027,45813,4165
,풀 나뭇잎,96,0,4,4,57012,196202,253214,2638
,기타(종이목재건초등),49,0,1,1,1254816,1211369,2466185,50330
침구직물류,소계,70,1,10,11,1192552,1273592,2466144,35231
,부직포,9,0,0,0,3378,35193,38571,4286
,의류,10,0,2,2,237539,716099,953638,95364
,이불(베개시트),22,1,4,5,239967,75592,315559,14344
,카펫,0,0,0,0,0,0,0,0
,커튼,2,0,1,1,50559,12907,63466,31733
,행주 기름걸레,9,0,0,0,93329,50047,143376,15931
,기타(침구직물류),18,0,3,3,567780,383754,951534,52863
합성수지,소계,462,1,18,19,17605026,23431330,41036356,88823
,발포폴리스티렌,47,0,6,6,804597,320295,1124892,23934
,아크릴수지,4,0,0,0,50657,69189,119846,29962
,우레탄,16,0,0,0,978807,1681714,2660521,166283
,플라스틱 PVC 비닐 장판,311,1,6,7,14180003,18383099,32563102,104705
,합성고무(타이어),15,0,1,1,10064,90167,100231,6682
,기타(합성수지),69,0,5,5,1580898,2886866,4467764,64750
미상,소계,120,1,24,25,17140748,33591742,50732490,422771
,미상,120,1,24,25,17140748,33591742,50732490,422771
기타,소계,249,23,29,52,6544598,26148485,32693083,131298
,기타,249,23,29,52,6544598,26148485,32693083,131298
